Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,D1,LED_D3.0mm,1,LED,
2,J2,,,,
3,F1,Fuse_BelFuse_0ZRE0033FF_L11.4mm_W3.8mm,1,Fuse_Small,
4,C1,CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal,1,0.47uF,
5,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
6,C2,CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal,1,0.01uF,
7,C3,CP_Radial_D5.0mm_P2.00mm,1,1000uF,
8,D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
9,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
10,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,R_US,
11,Q1,TO-220-3_Vertical,1,IRF540N,
12,U1,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555D_custom_IC_symbol,
13,RV1,Potentiometer_Vishay_T73XW_Horizontal,1,100K,
